iter	RMSE
0	14.48724465
1	13.98874342
2	13.53508223
3	13.06925245
4	12.62642341
5	12.20583867
6	11.8096495
7	11.41058468
8	11.11113339
9	10.76546635
10	10.42190045
11	10.0945539
12	9.841645159
13	9.582665323
14	9.306716224
15	9.103061398
16	8.885883512
17	8.654700838
18	8.431437978
19	8.270596202
20	8.085968088
21	7.894210926
22	7.740076274
23	7.590592925
24	7.443508328
25	7.329623437
26	7.203813795
27	7.072102942
28	6.946512784
29	6.826701531
30	6.724773913
31	6.627200401
32	6.52702177
33	6.443028937
34	6.358592442
35	6.282633766
36	6.196613199
37	6.112024641
38	6.041690752
39	5.971652835
40	5.906938104
41	5.839919043
42	5.780764377
43	5.738814998
44	5.682719671
45	5.627364452
46	5.570800506
47	5.516833771
48	5.472818942
49	5.429626448
50	5.391277761
51	5.346649228
52	5.30509339
53	5.268404639
54	5.231540008
55	5.19750021
56	5.172368502
57	5.140268543
58	5.105921824
59	5.073283987
60	5.044410166
61	5.026884318
62	4.996659913
63	4.967549444
64	4.951284024
65	4.928568783
66	4.907634142
67	4.890357994
68	4.866577604
69	4.84845568
70	4.829780795
71	4.809867653
72	4.788403486
73	4.764297769
74	4.753160721
75	4.734121426
76	4.729238798
77	4.710434512
78	4.688012622
79	4.672926873
80	4.648932382
81	4.630509087
82	4.612676531
83	4.596529218
84	4.578050836
85	4.556278907
86	4.529451278
87	4.514369618
88	4.492854595
89	4.47385445
90	4.462864621
91	4.44898405
92	4.431456788
93	4.419822468
94	4.404072241
95	4.392364785
96	4.382999591
