iter	Passed	Remaining
0	2	225
1	3	152
2	5	171
3	6	147
4	6	124
5	7	110
6	8	109
7	9	103
8	9	96
9	13	114
10	14	114
11	15	112
12	19	124
13	20	119
14	21	116
15	22	114
16	24	116
17	28	127
18	33	135
19	37	145
20	43	157
21	45	156
22	48	154
23	49	149
24	52	150
25	54	148
26	57	149
27	61	152
28	64	151
29	66	149
30	68	145
31	72	148
32	76	148
33	81	150
34	83	148
35	85	145
36	89	145
37	93	145
38	98	146
39	103	146
40	106	145
41	110	144
42	111	140
43	112	135
44	116	134
45	120	133
46	124	132
47	128	131
48	132	129
49	133	125
50	135	121
51	139	121
52	144	120
53	149	119
54	153	117
55	157	114
56	157	110
57	161	108
58	165	106
59	169	104
60	173	102
61	174	98
62	179	96
63	184	94
64	185	91
65	188	88
66	191	85
67	192	82
68	196	79
69	199	77
70	203	74
71	207	71
72	211	69
73	214	66
74	215	63
75	218	60
76	219	56
77	222	54
78	226	51
79	229	48
80	233	46
81	236	43
82	239	40
83	243	37
84	246	34
85	250	32
86	254	29
87	257	26
88	261	23
89	264	20
90	268	17
91	271	14
92	275	11
93	278	8
94	282	5
95	286	2
96	289	0
